0.0000e+00,0.0000e+00
4.1827e-02,1.0974e-03
8.3654e-02,2.2016e-03
1.2548e-01,3.3195e-03
1.6731e-01,4.4575e-03
2.0914e-01,5.6215e-03
2.5096e-01,6.8166e-03
2.9279e-01,8.0474e-03
3.3462e-01,9.3170e-03
3.7644e-01,1.0627e-02
4.1827e-01,1.1978e-02
4.6010e-01,1.3368e-02
5.0192e-01,1.4792e-02
5.4375e-01,1.6245e-02
5.8558e-01,1.7716e-02
6.2741e-01,1.9192e-02
7.3197e-01,2.2789e-02
8.3654e-01,2.5957e-02
9.4111e-01,2.8259e-02
1.0457e+00,2.9299e-02
1.1502e+00,2.8888e-02
1.2548e+00,2.7143e-02
1.3594e+00,2.4432e-02
1.4639e+00,2.1216e-02
1.5685e+00,1.7892e-02
1.6731e+00,1.4725e-02
1.7776e+00,1.1850e-02
1.8822e+00,9.3109e-03
1.9868e+00,7.0974e-03
2.0914e+00,5.1833e-03
2.1959e+00,3.5471e-03
2.3005e+00,2.1797e-03
2.4051e+00,1.0779e-03
