0.0000e+00,0.0000e+00
4.1827e-02,3.4902e-03
8.3654e-02,6.9936e-03
1.2548e-01,1.0523e-02
1.6731e-01,1.4090e-02
2.0914e-01,1.7703e-02
2.5096e-01,2.1370e-02
2.9279e-01,2.5094e-02
3.3462e-01,2.8875e-02
3.7644e-01,3.2707e-02
4.1827e-01,3.6582e-02
4.6010e-01,4.0483e-02
5.0192e-01,4.4391e-02
5.4375e-01,4.8279e-02
5.8558e-01,5.2115e-02
6.2741e-01,5.5860e-02
7.3197e-01,6.4534e-02
8.3654e-01,7.1597e-02
9.4111e-01,7.6273e-02
1.0457e+00,7.8003e-02
1.1502e+00,7.6639e-02
1.2548e+00,7.2511e-02
1.3594e+00,6.6306e-02
1.4639e+00,5.8844e-02
1.5685e+00,5.0875e-02
1.6731e+00,4.2966e-02
1.7776e+00,3.5477e-02
1.8822e+00,2.8597e-02
1.9868e+00,2.2404e-02
2.0914e+00,1.6920e-02
2.1959e+00,1.2154e-02
2.3005e+00,8.1160e-03
2.4051e+00,4.8028e-03
